subject,day,blink_rate_mean,percentage_missing_data
sub-025,d01,3.0742767215034674,0.01149848053639477
sub-025,d02,1.5193719929095972,0.0
sub-025,d03,2.6046377021307383,0.0
sub-026,d01,6.869743444766415,0.146920860012782
sub-026,d02,4.333798815428325,0.24869760262408952
sub-026,d03,3.3293873927197395,0.022044281510780955
sub-027,d01,27.487057246079928,0.3524822438471464
sub-027,d02,7.281654972310181,0.13550962326949978
sub-027,d03,4.364668012439304,0.005342273300089842
sub-028,d01,24.152968802415295,0.42482272924605663
sub-028,d02,34.32003432003432,0.7470093097293907
sub-028,d03,21.58137186849246,0.044544128109587716
sub-029,d01,45.9831573319075,0.5940539139137933
sub-029,d02,20.18472520317361,0.0
sub-029,d03,17.582364574791374,0.0
